Episode,Score
189,-318.36020656217255
190,-327.9670412820425
191,-349.6308129046357
192,-401.7603900011421
193,-399.42582295311263
194,-415.4261887534078
195,-333.05585617405563
196,-378.42205933600906
197,-469.0631371538176
198,-272.1851337552785
199,-422.78868619616037
200,-337.10531820928225
201,-446.21222116967067
202,-353.17477508140894
203,-399.3843337783896
204,-359.9278620265629
205,-280.3800344699571
206,-474.3161351345546
207,-578.3352629340839
208,-406.48499083798777
209,-378.5389938346651
210,-377.6718953217377
211,-366.36670186949743
212,-340.137775487138
213,-339.8326056474034
214,-314.19555881911606
215,-328.7875777822609
216,-358.9109875785621
217,-293.04094385800636
218,-353.7166085854517
219,-406.1773999687939
220,-294.6333259233385
221,-198.17745394546083
222,-270.8858900116767
223,-297.51050799123504
224,-275.13382151620345
225,-169.65077820874728
226,-358.92689664497146
227,-220.63259866063413
228,-330.4062248161992
229,-258.4985546967289
230,-329.5971467918311
231,-289.24044019786146
232,-351.101485276582
233,-719.8036905223306
234,-227.22342253757932
235,-736.5938263030771
236,-297.95652518452243
237,-217.33465325940483
238,-214.07550363237223
239,-681.0974751932356
240,-146.56101058086162
241,-172.7664669239308
242,-182.59212854046677
243,-281.33721769466354
244,-156.35481988209946
245,-194.40162856248787
246,-179.34390733374187
247,-770.7878880930883
248,-744.4554653216634
249,-148.71672994728456
250,-262.6854235953084
251,-221.93331406438844
252,-712.4019222963508
253,-748.2911110805862
254,-748.4690447461436
255,-142.0129604068366
256,-677.836185612163
257,-127.14206994639386
258,-156.8630898179341
259,-749.6783313999155
260,-769.0441273312471
261,-741.962512185806
262,-720.074693088217
263,-733.5723328243453
264,-703.6147848053294
265,-735.7729396084256
266,-705.940865941185
267,-657.5635220064352
268,-755.5329948020592
269,-703.9721025548683
270,-697.4000529224512
271,-718.2914911547632
272,-699.9434769285082
273,-669.9055552047442
274,-711.4809866684733
275,-700.6723653246414
276,-600.6263172559236
277,-728.3140890284963
278,-640.3269671515501
279,-623.4616189097163
280,-688.7166565779224
281,-671.9933304899585
282,-626.9454561888036
283,-614.2879463329015
284,-688.1208674546263
285,-595.8747652421705
286,-668.6896107504882
287,-641.2309259201613
288,-571.9491554445906
289,-635.2955197080584
290,-597.7371476601763
291,-675.3561569962546
292,-693.5095489987258
293,-632.6272543839859
294,-668.5919895964237
295,-647.8504995486686
296,-596.9417359219784
297,-560.2538110740409
298,-642.8539677799614
299,-653.7067414271255
300,-651.9395154761963
301,-615.1035885199599
302,-588.4417312293131
303,-589.7403540189388
304,-651.5734721715162
305,-590.1293869210479
306,-668.179229948824
307,-670.8819434182348
308,-644.9973261652417
309,-665.6752018000032
310,-615.1265780837944
311,-669.8904195026629
312,-651.6362645759243
313,-606.4207969723177
314,-650.2322028575168
315,-568.9656463109859
316,-630.7206186928455
317,-629.4027217054635
318,-609.6500114275577
319,-560.8778417566838
320,-659.3462256580002
321,-675.9888264350527
322,-639.3179096214692
323,-659.0624692603885
324,-664.9380430364511
325,-635.8508048621874
326,-660.4830230063262
327,-609.5416087757967
328,-615.0361907316726
329,-627.7845731090182
330,-655.9952710053001
331,-619.4329473927625
332,-601.8122491388749
333,-633.9311812504318
334,-587.1932107093943
335,-585.6303512837485
336,-584.8780179614812
337,-569.7895666286804
338,-604.883747016145
339,-640.1104882797019
340,-574.2620979855054
341,-609.4497941531096
342,-560.0835475941528
343,-606.8645198538402
344,-483.67283186079794
345,-424.9103073109927
346,-524.4202489017093
347,-351.5843976731072
348,-470.82141913253923
349,-501.5868129037691
350,-514.4046468481438
351,-377.6726801242288
352,-453.1055567610617
353,-312.6951027648247
354,-347.2090941032709
355,-351.20650749274444
356,-329.3371494036347
357,-397.62483674941404
358,-308.7476226636676
359,-349.0783384596475
360,-347.4741780476385
361,-300.5505544738767
362,-297.7535442928729
363,-295.1289682820507
364,-342.49168245036174
365,-382.9980354081882
366,-239.07725201811851
367,-353.58586689321857
368,-302.282315912889
369,-299.2855818439475
370,-298.3350658703429
371,-301.1489297130811
372,-259.41324059430804
373,-329.0802455384263
374,-303.3472443343501
375,-319.5188637535563
376,-348.05883548037104
377,-320.2500492731077
378,-277.72263181936705
