Episode,Score
0,42.55329342937267
1,-69.17095089213953
2,-158.08532298423313
3,-149.36415587865446
4,-87.48298594396653
5,-79.71913681210364
6,-186.70690814821694
7,-83.19946499643783
8,61.60067607338638
9,-260.5070287579572
10,-53.17182414195605
11,-76.55682470455277
12,21.16129593857717
13,-16.6924531279912
14,-304.0523829196669
15,-83.36767849327221
16,-44.122874592868705
17,-153.64093233259652
18,-4.397234858127803
19,-147.39594554410144
20,26.02800739617102
21,-188.75830867682396
22,-144.85942338065604
23,-76.18869514412779
24,-85.65398453903961
25,-164.52947866666872
26,-133.85214194863084
27,-220.99501033124238
28,-179.76310507623714
29,-63.64482819994514
30,-102.78055379402
31,-94.86542709397212
32,-88.00518060433907
33,-61.18344899101612
34,-52.3978024375657
35,-48.98737176644559
36,-250.22288389630347
37,-112.21936701343587
38,-75.79993569262886
39,-180.31071913583438
40,-89.69281232380433
41,-18.049553335603278
42,-185.98726270671224
43,18.90246789846266
44,-67.46309038569814
45,-62.04948758786708
46,-264.2850798328956
47,-278.3286578851631
48,-62.980534890087085
49,-98.6979085143821
50,-63.4031951674361
51,-85.89814505780174
52,-26.335863577657747
53,-65.21583104239012
54,-295.9333418718597
55,-77.47294115064658
56,-177.20314997705358
57,-55.864750900168396
58,-225.97678182172433
59,-374.4229649223555
60,-124.91143233512057
61,-73.5684182436589
62,-91.92339757401079
63,-53.1618278796053
64,-42.22597899187238
65,-254.258398324227
66,-151.83931856524208
67,-50.18149728275731
68,-82.03481803727114
69,-65.98801572883022
70,-0.8852624024981708
71,-167.48180874751463
72,-11.815503934161427
73,-168.86566026030482
74,-208.20598591967843
75,-6.362729653997064
76,-172.30146252145687
77,-464.7496984466921
78,-70.96601176601011
79,-78.15478568775137
80,-108.20451362155032
81,-105.03073166316406
82,-130.81398016207245
83,-100.80765142257222
84,-253.1741840960237
85,-164.53227298556197
86,-311.5955669939314
87,-180.6215555258774
88,-79.37660464480618
89,-14.631325173041063
90,10.068693457298977
91,-107.94014426056539
92,-134.89428416466407
93,-88.39005573002075
94,-74.50445209139168
95,-5.881665854485433
96,-102.9433537037787
97,-119.18560181842501
98,-110.97170782195481
99,-10.968004543023653
100,-97.74937065030778
101,-140.1642371944409
102,-144.43175025873833
103,-201.23159026738324
104,-103.90438985257543
105,-81.04410360617642
106,-112.04440324995635
107,-61.93009935517098
108,-81.09920440002705
109,-95.17919242527918
110,-75.0451993463935
111,-42.115317995173
112,-104.33311379953207
113,-109.08955350399302
114,-98.39300428228832
115,-98.16974166025093
116,-79.17179008481517
117,-128.01508334029222
118,-384.17850682189436
119,-96.37519990439178
120,-113.9021066459912
121,-76.96723330293533
122,-76.81199603336597
123,-112.99719613233866
124,-373.09167663802566
125,-100.90557518902024
126,-104.3715874378381
127,-128.2477702999848
128,-569.8963991481121
129,-84.0393988802093
130,-553.3954621642854
131,-35.76869806450932
132,-295.07438483577806
133,-133.24571795390796
134,-100.46243311624251
135,-36.95935279348133
136,-106.18515635313884
137,-93.45984910436346
138,-127.5933561033674
139,-140.9230649288311
140,-157.47781379541308
141,-140.09606672731604
142,-93.69754898980362
143,-120.85473759285085
144,-116.33186914057862
145,-266.6279091662214
146,-149.60299876143492
147,-108.2014749922011
148,-34.015163181595724
149,13.23506132505726
150,-96.37805256448537
151,-288.3714032706439
152,-90.32087509590498
153,-42.371952365647566
154,-103.56560082474508
155,-137.2896391484139
156,-137.31553420660924
157,-157.04833194262125
158,-318.09280412729424
159,-256.9750613075072
160,-243.63833385209992
161,-327.97805824619434
162,-374.710921590415
163,-93.70830623004329
164,-110.70454426352495
165,-5.329347767669773
166,-72.08562139747387
167,-128.52776412282833
168,-66.56822610038222
169,-107.06256910684004
170,-106.0441827733597
171,-90.35425488166094
172,-85.60341919398773
173,-272.8612389103365
174,-92.91736437517963
175,-144.49985142945297
176,-126.8545752004584
177,-154.4851051987256
178,-227.80765141549472
179,-35.97715408092135
180,-56.027013186130084
181,-41.53290454831476
182,-147.95661778906492
183,-141.903695738387
184,-209.39489695546365
185,-123.88389095682817
186,-109.92254446634776
187,-106.30144010792944
188,-35.65199788749466
189,-34.507824585015115
190,-48.563552623778364
191,-80.54139617230817
192,-48.329335067334746
193,-144.67448837338412
194,-122.52178885498932
195,-52.69433831226278
196,-91.1710711847707
197,-121.87802394051755
198,-40.18013341591818
199,-140.43132883876726
200,-75.23033367520902
201,-83.18370053871921
202,-69.0692863184382
203,-126.4992063326637
204,-66.77974290147017
205,-103.07824145941139
206,-80.19627381239127
207,-48.80322770748838
208,-47.07089568742727
209,-68.19558257400729
210,-48.84158983264258
211,-189.02646898604166
212,32.284528205021246
213,-216.12214254810823
214,-229.80459967265705
215,27.664390300917233
216,-192.02482870434292
217,-63.869776071004466
218,-94.03903173362754
219,48.656873422246775
220,10.500252178121011
221,31.94901139692854
222,-186.0674986147842
223,-111.69143389032774
224,-19.68993394987909
225,23.774431689975472
226,-45.73646084088243
227,-11.12147145648862
228,-35.65962902407681
229,-70.21692705636929
230,37.37499207722104
231,-7.782091222682098
232,-72.93813627795095
233,-64.00864968462048
234,-25.630019274777716
235,-71.33334794073608
236,-49.871805455430525
237,-37.23440156516477
238,-67.98965867064126
239,-30.72842411590477
240,47.96705123157079
241,-39.330227357265386
242,-51.88125148194327
243,25.121521890176055
244,-62.682150168041986
245,-173.7646451402021
246,-133.73648427113756
247,-134.89606557796137
248,-135.22957157702126
249,-124.6124973226662
250,-89.5763808204965
251,-47.15135895489939
252,-145.29225849841865
253,-153.30047262855877
254,-132.18871020576242
255,30.613492998087338
256,-7.234338178071937
257,12.20663051091941
258,-5.367917339693676
259,-23.678991779416506
260,19.192103640428343
261,-119.7421664356788
262,-144.1625782606701
263,-148.8125521952916
264,-117.85077521578523
265,-125.7679029295982
266,-125.06421587863038
267,-104.78211131842679
268,-149.3478279204762
269,-226.5743117862998
270,-141.97611643238008
271,-122.69721176697306
272,-124.38963533175561
273,-152.22635843207684
274,-141.6767575301871
275,-82.30880037569958
276,-161.50263859135362
277,15.409372109100701
278,-105.33201655993938
279,-100.89649035775851
280,-112.69698819354974
281,-94.90344349860023
282,-161.73248315140964
283,-133.64240112666482
284,-113.75398019209213
285,-118.55317423138649
286,-114.98751380965892
287,-136.28608706365748
288,-106.31818728976853
289,-121.56617309400903
290,-121.74686066031049
291,-176.3460792305567
292,-173.25845608931246
293,-143.10650795708887
294,-187.50464148129686
295,-156.6072973065579
296,-128.80934440975258
297,-176.49191741178328
298,-117.1193949404286
299,-116.89621278461495
